time,open,high,low,close,volume
2025-03-14 21:00:00,83924.7,84303.4,83906.8,84237.4,13193
2025-03-15 01:00:00,84240.3,84625.3,84045.9,84401.2,46667
2025-03-15 05:00:00,84408.5,84423.9,83553.4,83839.7,26139
2025-03-15 09:00:00,83839.7,84233.7,83595.8,84090.6,21684
2025-03-15 13:00:00,84090.6,84422.0,84048.6,84286.7,24363
2025-03-15 17:00:00,84288.4,84430.7,84045.9,84334.2,20982
2025-03-15 21:00:00,84334.2,84406.2,84151.8,84188.7,18180
2025-03-16 01:00:00,84200.6,84365.8,83680.6,84346.8,28038
2025-03-16 05:00:00,84349.8,84357.3,83909.6,84203.4,12960
2025-03-16 09:00:00,84205.7,84214.1,82309.9,82685.7,33543
2025-03-16 13:00:00,82682.8,85027.2,82429.9,83562.3,60401
2025-03-16 17:00:00,83555.3,84045.3,82505.0,83158.4,59317
2025-03-16 21:00:00,83157.8,83158.4,81950.2,83015.6,68243
2025-03-17 01:00:00,83015.0,83828.4,82781.8,83559.6,75213
2025-03-17 05:00:00,83550.2,83647.1,82643.1,83505.1,78861
2025-03-17 09:00:00,83499.9,83912.6,82966.6,83014.4,78980
2025-03-17 13:00:00,83014.5,83823.4,82403.8,83398.6,100846
2025-03-17 17:00:00,83398.1,84710.4,83316.3,83925.8,82819
2025-03-17 21:00:00,83922.2,84209.7,83660.8,83756.9,50648
2025-03-18 01:00:00,83757.1,83872.9,82808.2,82946.3,75800
2025-03-18 05:00:00,82944.1,83405.3,82209.3,83232.1,73051
2025-03-18 09:00:00,83232.0,83302.1,82287.1,82350.4,75721
2025-03-18 13:00:00,82358.9,82431.6,81091.2,81821.2,100098
2025-03-18 17:00:00,81823.9,82432.4,81197.4,81988.2,86575
2025-03-18 21:00:00,81984.5,83188.2,81875.1,83057.3,66919
2025-03-19 01:00:00,83058.3,83107.7,82510.4,82917.5,62096
2025-03-19 05:00:00,82918.7,83479.0,82877.7,83382.0,57848
2025-03-19 09:00:00,83382.5,84041.9,83329.8,83718.8,69179
2025-03-19 13:00:00,83719.5,84863.0,83584.9,84556.8,93921
2025-03-19 17:00:00,84556.8,85939.4,83565.4,85343.7,104297
2025-03-19 21:00:00,85341.6,87442.4,85329.1,86005.7,88500
2025-03-20 01:00:00,86005.5,86359.2,85384.8,85657.6,80102
2025-03-20 05:00:00,85660.1,86281.7,85443.4,86212.8,75313
2025-03-20 09:00:00,86211.1,86245.4,84748.5,85295.6,93841
2025-03-20 13:00:00,85295.8,86482.1,83578.4,83725.1,111739
2025-03-20 17:00:00,83719.9,84529.1,83654.7,84472.1,87865
2025-03-20 21:00:00,84472.0,84533.6,83845.7,84409.5,73736
2025-03-21 01:00:00,84406.9,84780.2,84194.4,84608.4,65569
2025-03-21 05:00:00,84608.5,84616.8,83668.2,83938.1,74333
2025-03-21 09:00:00,83934.9,84267.9,83321.0,83376.3,64660
2025-03-21 13:00:00,83375.9,84209.8,83086.1,84025.6,91460
2025-03-21 17:00:00,84022.2,84344.1,83627.2,84144.7,68119
2025-03-21 21:00:00,84121.3,84494.5,83944.9,84103.7,29742
2025-03-22 01:00:00,84103.1,84300.5,83893.1,84267.9,24855
2025-03-22 05:00:00,84277.1,84334.9,84042.8,84141.4,12364
2025-03-22 09:00:00,84141.4,84452.6,84104.8,84149.2,12885
2025-03-22 13:00:00,84149.2,84173.4,83901.8,84078.7,19338
2025-03-22 17:00:00,84074.9,84268.6,83862.8,83873.7,16082
2025-03-22 21:00:00,83872.9,84042.9,83597.8,83943.8,20509
2025-03-23 01:00:00,83940.5,84219.9,83913.9,84047.0,27041
2025-03-23 05:00:00,84047.0,84317.9,84034.9,84284.3,32723
2025-03-23 09:00:00,84284.4,84966.2,84239.9,84659.9,23141
2025-03-23 13:00:00,84659.9,85318.1,84577.5,85175.6,41447
2025-03-23 17:00:00,85181.9,85349.5,84744.0,85043.0,31130
2025-03-23 21:00:00,85035.1,86602.3,84860.4,85986.0,52178
2025-03-24 01:00:00,85989.6,86898.9,85500.3,86814.3,69390
2025-03-24 05:00:00,86817.5,87469.6,86731.9,87379.5,63187
2025-03-24 09:00:00,87378.2,87829.4,87095.0,87297.4,63956
2025-03-24 13:00:00,87297.3,88753.9,87105.8,88023.2,88531
2025-03-24 17:00:00,88020.4,88523.3,87813.4,87829.5,66845
2025-03-24 21:00:00,87829.8,88266.7,87056.8,87589.0,57446
2025-03-25 01:00:00,87588.8,87588.8,86271.8,86507.5,60904
2025-03-25 05:00:00,86507.4,86847.5,86315.9,86691.4,55312
2025-03-25 09:00:00,86691.0,87466.7,86622.9,87057.6,60692
2025-03-25 13:00:00,87045.5,88236.9,87034.1,87787.9,84689
2025-03-25 17:00:00,87788.9,88519.0,87576.6,87859.2,70904
2025-03-25 21:00:00,87859.1,88207.6,87144.6,87631.9,55272
2025-03-26 01:00:00,87630.3,87876.9,87025.3,87300.8,56328
2025-03-26 05:00:00,87300.4,88259.5,87205.7,87945.3,52220
2025-03-26 09:00:00,87946.5,88246.4,87581.7,87782.6,52632
2025-03-26 13:00:00,87782.4,87908.0,86382.7,86473.9,86972
2025-03-26 17:00:00,86471.9,87376.8,85819.1,87242.7,82797
2025-03-26 21:00:00,87232.8,87279.7,86541.2,87257.4,45361
2025-03-27 01:00:00,87257.6,87727.1,87163.1,87503.5,48048
2025-03-27 05:00:00,87486.3,87561.6,87240.8,87408.3,53560
2025-03-27 09:00:00,87408.7,87560.9,86699.6,86726.9,63084
2025-03-27 13:00:00,86728.0,87529.9,85781.3,86778.6,86861
2025-03-27 17:00:00,86780.8,87376.5,86745.7,87266.9,68304
2025-03-27 21:00:00,87267.0,87676.1,86890.8,87306.5,53628
2025-03-28 01:00:00,87307.1,87454.4,85904.6,86239.1,63865
2025-03-28 05:00:00,86238.0,86238.0,84986.3,85144.0,82548
2025-03-28 09:00:00,85154.8,85483.3,84745.1,84987.0,74076
2025-03-28 13:00:00,84990.6,85502.9,83584.9,83712.1,96680
2025-03-28 17:00:00,83707.5,84076.1,83503.7,83725.1,82400
2025-03-28 21:00:00,83699.2,84519.0,83584.9,84294.3,28248
2025-03-29 01:00:00,84292.1,84405.5,83609.9,83977.3,27057
2025-03-29 05:00:00,83977.3,84005.9,83558.8,83828.6,21819
2025-03-29 09:00:00,83828.2,83840.1,81915.8,82361.8,38635
2025-03-29 13:00:00,82358.4,82790.9,82082.8,82099.5,32163
2025-03-29 17:00:00,82099.5,82692.2,81557.7,82417.3,46184
2025-03-29 21:00:00,82409.8,82795.2,82160.7,82710.9,27544
2025-03-30 01:00:00,82705.3,83425.2,82661.8,83032.5,27279
2025-03-30 05:00:00,83036.9,83316.6,82771.1,83287.4,15379
2025-03-30 09:00:00,83292.0,83443.8,82900.8,82980.2,17850
2025-03-30 13:00:00,82987.7,83072.8,82103.0,82207.0,33553
2025-03-30 17:00:00,82207.0,82800.6,81977.8,82479.4,28437
